# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-10-14
#
# GRDC-No.:              1531300
# River:                 PRU
# Station:               PRANG
# Country:               GH
# Latitude (DD):       7.9833
# Longitude (DD):      -0.8833
# Catchment area (km²):      6355.0
# Altitude (m ASL):        41.43
# Next downstream station:      1531700
# Remarks:               
# Owner of original data: Ghana - Hydrological Services Department
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1957 - 2007
# No. of years:          51
# Last update:           2018-07-02
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 598
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-01-01;--:--;      3.000;   -999.000;   0
1967-02-01;--:--;      1.000;   -999.000;   0
1967-03-01;--:--;      1.000;   -999.000;   0
1967-04-01;--:--;      2.000;   -999.000;   0
1967-05-01;--:--;      3.000;   -999.000;   0
1967-06-01;--:--;      7.000;   -999.000;   0
1967-07-01;--:--;     24.000;   -999.000;   0
1967-08-01;--:--;      4.000;   -999.000;   0
1967-09-01;--:--;     19.000;   -999.000;   0
1967-10-01;--:--;   -999.000;   -999.000;   0
1967-11-01;--:--;   -999.000;   -999.000;   0
1967-12-01;--:--;   -999.000;   -999.000;   0
1968-01-01;--:--;   -999.000;   -999.000;   0
1968-02-01;--:--;   -999.000;   -999.000;   0
1968-03-01;--:--;   -999.000;   -999.000;   0
1968-04-01;--:--;   -999.000;   -999.000;   0
1968-05-01;--:--;   -999.000;   -999.000;   0
1968-06-01;--:--;   -999.000;   -999.000;   0
1968-07-01;--:--;   -999.000;   -999.000;   0
1968-08-01;--:--;   -999.000;   -999.000;   0
1968-09-01;--:--;   -999.000;   -999.000;   0
1968-10-01;--:--;   -999.000;   -999.000;   0
1968-11-01;--:--;   -999.000;   -999.000;   0
1968-12-01;--:--;   -999.000;   -999.000;   0
1969-01-01;--:--;   -999.000;   -999.000;   0
