system:index,date,rainfall_mm,.geo
19810610,1981-06-10,10.038231386707386,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810611,1981-06-11,7.534190089729966,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810612,1981-06-12,3.2385321552439272,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810613,1981-06-13,7.3934420433521595,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810614,1981-06-14,1.6615978088899013,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810615,1981-06-15,0.11597224885317324,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810616,1981-06-16,0.6212891516778951,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810617,1981-06-17,5.516883907032164,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810618,1981-06-18,8.698091118566888,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810619,1981-06-19,11.784529895472891,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810620,1981-06-20,13.233956557633823,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810621,1981-06-21,11.27030603523374,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810622,1981-06-22,9.272397020916339,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810623,1981-06-23,10.175602064105966,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810624,1981-06-24,17.801610198471007,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810625,1981-06-25,7.677399952206348,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810626,1981-06-26,2.8200562167647485,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810627,1981-06-27,3.0081900095573766,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810628,1981-06-28,2.212648645367024,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810629,1981-06-29,2.7532953274557492,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810630,1981-06-30,0.8492027999785164,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810701,1981-07-01,1.8090070721077243,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810702,1981-07-02,2.2450958142917425,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810703,1981-07-03,5.33089836588363,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810704,1981-07-04,19.504797144651775,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810705,1981-07-05,4.189085631511165,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810706,1981-07-06,5.318765984011788,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810707,1981-07-07,3.9748888180942408,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810708,1981-07-08,13.85540169472201,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810709,1981-07-09,7.233073011795573,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810710,1981-07-10,2.0765050363251674,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810711,1981-07-11,8.115375542114338,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810712,1981-07-12,0.985670720126638,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810713,1981-07-13,0.9969108628367487,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810714,1981-07-14,10.570716654164563,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810715,1981-07-15,0.7985551004814612,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810716,1981-07-16,1.6665169888731055,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810717,1981-07-17,3.400398386104583,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810718,1981-07-18,3.3990087973202185,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810719,1981-07-19,2.3144910552000115,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810720,1981-07-20,4.976614131727651,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810721,1981-07-21,0.8439125042288651,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810722,1981-07-22,1.922039952611874,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810723,1981-07-23,3.284151916659065,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810724,1981-07-24,5.775294275157017,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810725,1981-07-25,4.18369262147822,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810726,1981-07-26,5.380028639659815,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810727,1981-07-27,3.073334661641959,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810728,1981-07-28,3.4323346087857853,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810729,1981-07-29,2.9612385760336477,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810730,1981-07-30,2.9702221553207564,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810731,1981-07-31,2.9560208133752996,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810801,1981-08-01,8.075674791052059,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810802,1981-08-02,5.205370674264864,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810803,1981-08-03,4.570061789967953,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810804,1981-08-04,2.6584593072855465,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810805,1981-08-05,8.794744710608509,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810806,1981-08-06,4.902867719036006,"{""type"":""MultiPoint"",""coordinates"":[]}"
19810807,1981-08-07,1.2107772523306044,"{""type"":""MultiPoint"",""coordinates"":[]}"
